sentiment,subjectivity,title
-0.6999999999999998,0.6666666666666666,Bad
-0.6999999999999998,0.6666666666666666,Bad
-0.13333333333333333,0.16666666666666666,Cow
-0.13333333333333333,0.16666666666666666,Cow
-0.13333333333333333,0.16666666666666666,Cow
-0.13333333333333333,0.16666666666666666,Cow
-0.13333333333333333,0.16666666666666666,Cow
-0.13333333333333333,0.16666666666666666,Cow
0.8,0.9,Fly
0.8,0.9,Fly
-0.15000000000000002,0.5,Bass
0.2,0.6,Fast
0.4,0.8,Free
-0.4,0.4,GAME
-0.2916666666666667,0.5416666666666666,Hard
-0.3,0.6,Late
0.5,0.6,Love
0.5,0.6,LOVE
0.5,0.6,LOVE
0.5,0.6,LOVE
0.5,0.5,Many
0.5,0.5,Most
0.6,1.0,Nice
0.6,1.0,Nice
0.6,0.95,ROSE
0.6,0.95,ROSE
0.6,0.95,Rose
0.6,0.95,Rose
0.6,0.95,Rose
-0.30000000000000004,0.39999999999999997,Slow
-0.7,1.0,Ugly
-0.25,0.75,Alien
-0.16666666666666666,0.43333333333333335,Black
-0.5,0.6666666666666666,Blind
-0.5,0.6666666666666666,Blind
-0.5,0.6666666666666666,Blind
-0.5,1.0,Drunk
-0.1,0.5,Empty
0.25,0.3333333333333333,First
0.8,0.9,Fly I
-0.2,0.3,Green
-0.2,0.3,GREEN
-0.2,0.3,Green
-0.8,0.2,Grief
-0.8,0.2,Grief
-0.8,0.2,Grief
0.6,0.9,Handy
0.4,0.7,Light
0.4,0.7,Light
0.8,0.8,Lolol
-0.125,0.375,Other
0.2,0.5,Ready
0.5,0.6,(Love)
0.1,0.1,Action
0.1,0.1,Action
0.1,0.1,Action
0.1,0.1,Action
0.1,0.1,Action
-0.4,0.7,behind
0.6,0.9,DeLuxe
0.13636363636363635,0.5,Live's
0.6,1.0,MY OWN
-0.25,0.23333333333333334,Parade
-0.25,0.23333333333333334,Parade
-0.05,0.1,C. Grey
-0.6,0.9,Cutting
-0.6,0.9,Cutting
-0.6,0.9,Cutting
-0.55,0.8500000000000001,Deadpan
-0.125,0.75,Endless
-0.125,0.75,Endless
0.05000000000000002,0.5,General
0.05000000000000002,0.5,General
0.5,0.6,In Love
0.5,0.6,In Love
0.5,0.6,In Love
0.5,0.6,In Love
-0.25,0.5,No More
0.45,0.2,Old Joy
0.1,0.2,OLD MAN
0.1,0.2,Old Man
-0.25,0.4,SMALL I
-0.05,0.4,SO LONG
0.13636363636363635,0.5,To Live
-0.1,0.6,Unknown
-0.1,0.6,Unknown
-0.16666666666666666,0.43333333333333335,Black Ed
-0.16666666666666666,0.43333333333333335,BLACK II
-0.6,1.0,COLD DAY
-0.6,1.0,Cold War
-0.15,0.4,Dark Egg
-0.2,0.4,Dead End
-0.2,0.4,Dead Man
-0.15555555555555559,0.2888888888888889,Down Dog
0.1,1.0,Far West
0.2,0.6,FAST CAR
-0.4,0.6,Fuck Off
0.3,0.2,Fun City
-0.4,0.4,Game Box
-0.4,0.4,Game Box
-0.05,0.1,Grey Sky
0.25,0.8500000000000001,Hot Boys
0.3125,0.8500000000000001,Hot Cha!
0.25,0.8500000000000001,Hot Sake
0.25,0.8500000000000001,HOT SPOT
-0.1,0.1,Icy Bush
0.4,0.7,Light Up
-0.625,1.0,Mad Eyes
-0.2,0.4,Mao Dead
0.8,0.2,Meat Joy
-0.5,0.6666666666666666,My Blind
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,New City
0.13636363636363635,0.45454545454545453,NEW YEAR
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
0.13636363636363635,0.45454545454545453,New York
